location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Lalitpur,12500000,2,1,1.5,2076,0-3-1-0 Aana,13 Feet ,"Opposite of Green hill city, Imadol, Lalitpur"
Bhaktapur,2100000,0,0,N/A,N/A,0-5-2-0 Sq. Feet,20 Feet ,"Milan Chowk, Sirutar, Bhaktapur"
Kathmandu,45000000,4,4,3,2074,11 Aana,22 Feet,"Pasikot, Budhanilkantha, Kathmandu"
Lalitpur,12500000,2,1,1.5,2076,0-3-0-0 Aana,13 Feet ,"Nearby Pawan Pakriti School., Tikathali, Lalitpur"
Lalitpur,19000000,4,3,2.5,2076,0-3-2-0 Aana,13 Feet ,"Ochu Height, Imadol, Lalitpur"
Kathmandu,32000000,0,0,N/A,N/A,0-10-0-0 Aana,20 Feet,"chyasingdol, Pasikot, Kathmandu"
Kathmandu,15500000,2,1,1.5,2076,0-4-0-0 Aana,20 Feet ,"Birendrachwok, Planning, Kadaghari, Kathmandu"
Kathmandu,3000000,0,0,N/A,N/A,12 Aana,16 Feet ,"Bhuddha colony, Budhanilkantha, Kathmandu"
Kathmandu,6500000,0,0,N/A,N/A,0-18-0-0 Aana,40 Feet ,"Sankhamul, Sankhamul, Kathmandu"
Kathmandu,2350000,0,0,N/A,N/A,5 Aana,13 Feet ,"High Vision Colony,Thankot,Mahadevsthan, Thankot, Kathmandu"
Kathmandu,4100000,0,0,N/A,N/A,0-4-0-0 Aana,13 Feet ,"Golfutar, Golfutar, Kathmandu"
Bara,100000,0,0,N/A,N/A,3.95 Kattha,16 Feet,"Simara Chok, Simara, Bara"
Kathmandu,200000,0,0,N/A,N/A,10 Aana,20 Feet,"Basundhara, Ring Road, Dhapasi, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,6.1 Aana,12 Feet ,"kumarigal, Gaurighat, Kathmandu"
Kathmandu,30000,2,1,N/A,N/A,4 Aana,11 Feet,"Budhanilkanta, Budhanilkantha, Kathmandu"
Kathmandu,2800000,0,0,N/A,N/A,18 Aana,20 Feet ,"Man, Budhanilkantha, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,18 Aana,30 Feet ,"Man, Budhanilkantha, Kathmandu"
Kathmandu,1500000,0,0,N/A,N/A,0-7-0-0 Aana,58 Feet ,"Nearby Baudheshwor Temple, Jhor, Tokha, Kathmandu"
Birtamod,1250000,0,0,N/A,2003,11.5 Kattha,20 Feet ,"Omchowk, Birtamod, Birtamod"
Kathmandu,1100000,0,0,N/A,N/A,0-4-0-0 Aana,10 Feet,"Phutung, Kavresthali, Kathmandu"
Kathmandu,8500000,0,0,N/A,N/A,0-5-2-0 Aana,13 Feet,"Chabahil, Chabahil, Kathmandu"
Kathmandu,2850000,0,0,N/A,N/A,0-4-0-0 Aana,10 Feet,"Jarankhu, Kavresthali, Kathmandu"
Kathmandu,1450000,0,0,N/A,N/A,0-5-0-0 Aana,20 Feet,"Dharmasthali, Dharmasthali, Kathmandu"
Kathmandu,2600000,0,0,N/A,N/A,41 Aana,15 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,3800000,0,0,N/A,N/A,1 Ropani,30 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,10 Aana,30 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,1000000,0,0,N/A,N/A,3 Aana,26 Feet,"Dilli bazzar road, Dillibazar, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,8.10.0.0 Aana,32 Feet,"Na, Budhanilkantha, Kathmandu"
Kathmandu,4200000,0,0,N/A,N/A,8 Aana,15 Feet,"Na, Golfutar, Kathmandu"
Kathmandu,6000000,0,0,N/A,N/A,8 Ropani,35 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,20000,2,1,N/A,N/A,5.5 Aana,18 Feet,"Grande Villa height, milantol, tokha, Tokha, Kathmandu"
Bhaktapur,2100000,0,0,N/A,N/A,0-6-0-0 Aana,0 Feet,"duwakot, Bhaktapur, Bhaktapur"
Kathmandu,32000,2,2,5,N/A,1000 Sq. Feet,10 Feet,"Chakrapath,Near Bhat Bhateni, Maharajgunj, Kathmandu"
Lalitpur,3500000,0,0,N/A,N/A,4.5 Aana,7 Meter ,"Kist hospital to hatiban road, Imadol, Lalitpur"
Kathmandu,75000,7,7,3,2070,9 Aana,13 Feet ,"Man, Hattigauda, Kathmandu"
Kathmandu,30000,1,1,N/A,N/A,10 Aana,0 Feet,"ranibari, Lazimpat, Kathmandu"
Kathmandu,8500000,0,0,N/A,N/A,29 ana Aana,16 Feet,"Na, Bishal Nagar, Kathmandu"
Kathmandu,2450000,0,0,N/A,N/A,0-5-0-0 Aana,16 Feet,"jyoti nagar,kathmandu, Bhangal, Kathmandu"
Kathmandu,5700000,0,0,N/A,N/A,16 Aana,14 Feet,"Na, Baluwatar, Kathmandu"
Kathmandu,20000,0,1,N/A,N/A,310 Sq. Feet,0 Feet,"Pyukha new road, Newroad, Kathmandu"
Kathmandu,7000000,0,0,N/A,N/A,12 Aman Aana,25 Feet,"Man, Maligaon, Kathmandu"
Kathmandu,65000,0,1,N/A,N/A,320 Sq. Feet,0 Feet,"Pyukha marg near bira complex, Newroad, Kathmandu"
Kathmandu,2500000,0,0,N/A,N/A,9 Aana,15 Feet ,"Na, Hattigauda, Kathmandu"
Lalitpur,35000,0,0,5,2013,9 Aana,72 Feet ,"Imadol Mahalaxmi 1, Mahalaxmi Nagarpalika, Lalitpur"
Kathmandu,4000000,0,0,N/A,N/A,4 Ropani,15 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,250000,6,7,3,2070,21 Aana,16 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,5700000,0,0,N/A,N/A,4 Aana,15 Feet ,"Na, Ranibari, Kathmandu"
Kathmandu,3000000,0,0,N/A,N/A,5 Aana,13 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,60000,0,2,4.5,2076,850 Sq. Feet,20 Meter ,"Nearby NCC Bank , Link Road, Sorakhutte, Kathmandu"
Kathmandu,5500000,0,0,N/A,N/A,0-12-0-0 Aana,0 Feet,"Lazimpat Kathmandu, Lazimpat, Kathmandu"
Kathmandu,7000000,0,0,N/A,N/A,0-7-0-0 Aana,9 Meter ,"Dhobikhola Corridor, Anamnagar, Kathmandu"
Lalitpur,25000,2,2,3,2076,1085 Sq. Feet,13 Feet ,"Sitapakha, Imadol, Lalitpur"
Kathmandu,30000,0,0,2,N/A,500 Sq. Feet,26 Feet ,"New Baneshwor, Baneshwor, Kathmandu"
Pokhara,18000,1,1,N/A,N/A,0.5.3.0 Aana,14 Feet ,"Zero km pokhara, Zero Km, Pokhara"
